Stf;Pos.;Material P;Objektkurztext;   Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;7800;KG;86;SP;1;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;156;KG;86;SP;1;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;480;KG;86;SP;1;PD;F;ROH;1;88;PK01;W-VIE001M;W09;
3;1;500538717;Klebstoff SikaForce-7818 L7 Harz+Härter;1250;KG;86;SP;1;PD;F;ROH;1;88;PK01;71219;W09;
3;4;500050017;Sika Aktivator 100;65;KG;86;SP;1;PD;F;ROH;1;88;PK01;71219;W09;
3;2;500112090;Korrosionsschutz Tectyl 5750 W;10000;KG;86;SP;1;PD;F;ROH;1;88;PK01;71509;W09;
3;4;500550315R;Ablufthaube kpl.;1;ST;86;SP;1;PD;F;ROH;;88;PK01;75506;W05;
3;13;500577626;Dichtung Abluft Pl 3x157x378;1;ST;86;SP;1;PD;F;ROH;;88;PK01;75506;W11;
3;22;500332596;Sechskantschr.M6x16 ISO4017-A4-80;6;ST;86;SP;1;ND;F;ROH;;88;PK01;75506;W09;X
3;24;815001287;Sperrkantscheibe SKM-8 TN096340-NrFSt-A4;6;ST;86;SP;1;ND;F;ROH;;88;PK01;75506;W09;X
3;130;500222566;Einsatz E153p9 TPE-V natur;1;ST;86;SP;1;ND;F;ROH;;88;PK01;75506;W02;X
3;160;500175851;Kabelverschraubung VK82553d Ms,vern.;1;ST;86;SP;1;PD;F;ROH;;88;PK01;75506;W11;
3;432;500175552;Gegenm.M25x1,5 225/5 Ms,vern.;1;ST;86;SP;1;ND;F;ROH;;88;PK01;75506;W04;X
2;3;558346CM1;Übersicht Fenstereinbau Kopf-Front;1;ST;86;SP;300;PD;E;HALB;1;15;INV;B-GOT001;;
3;1;500563588;Frontscheibe;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;2;500578866;Leuchtenhalter links kpl.;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;3;500578867;Leuchtenhalter rechts kpl.;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;0;KG;86;SP;1;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;0;KG;86;SP;1;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;0;KG;86;SP;1;PD;F;ROH;1;88;PK01;W-VIE001M;W09;
3;2;500563589;Seitenscheibe rechts;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;3;500563600;Seitenscheibe links;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;4;500563601;Schiebefenstersystem Kopf links;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W06;
3;1;500546974;Klebstoff Sikaflex-268 schwarz Hobb.50l;3900;KG;86;SP;1;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
3;2;500546975;Klebstoff SikaBooster-20 S Hobb.23l;78;KG;86;SP;1;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;240;KG;86;SP;1;PD;F;ROH;1;88;PK01;W-VIE001M;W09;
3;1;500546973;Klebstoff Sikaflex-268 schwarz 600ml;1300;KG;86;SP;1;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
3;3;500050017;Sika Aktivator 100;50;KG;86;SP;1;PD;F;ROH;1;88;PK01;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;80;KG;86;SP;1;PD;F;ROH;1;88;PK01;W-VIE001M;W09;
3;12;500305916;Elastikp.3M Bumpon SJ5027 7,9mm skl.;20;ST;86;SP;1;ND;F;ROH;;88;PK01;B-GOT001;W10;X
3;13;500305917;Elastikp. 3M Bumpon SJ5003 5mm skl.;20;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W09;X
3;14;500306899;Elastikp.3M Bumpon SJ6506 3,8mm skl.;20;ST;86;SP;1;ND;F;ROH;;88;PK01;B-GOT001;W02;X
3;15;500311355;Elastikp. 3M Bumpon SJ5076 2,8mm skl.;20;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W02;
2;4;565505CM1;Montage Fußbodenbelag Kopf-Front;1;ST;86;SP;300;PD;E;HALB;1;15;INV;71509;;
3;1;500573348;Fußb.bel. Noraplan mobil(mix 931);2900;M2;86;SP;1;PD;F;ROH;1;88;PK01;B-GOT001;W06;
3;2;500573551;Fußb.bel. Noraplan mobil(mix 931);400;M2;86;SP;1;PD;F;ROH;1;88;PK01;B-GOT001;W06;
3;3;500571624;Dichtwinkel;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;4;500571625;Dichtwinkel;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;5;500571626;Dichtwinkel;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;6;500571627;Dichtwinkel;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;7;500571628;Trittwinkel;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;8;500571629;Trittwinkel;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;9;500571640;Trittwinkel;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;10;500571641;Trittwinkel;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;11;500577080;Trittwinkel;1;ST;86;SP;1;PD;F;ROH;;88;PK01;B-GOT001;W05;
3;15;500586270;Antirutschbelag sk 51x18300 Public 46;2600;M;86;SP;1;PD;F;ROH;1;88;PK01;75058;W02;
3;16;500573552;Antirutsch-Belag 25x18300 univers.sk.;1100;M;86;SP;1;PD;F;ROH;1;88;PK01;B-GOT001;W02;
3;20;700015260;Blechschr.ST4,2x13-C-H ISO7050-A2-70;11;ST;86;SP;1;ND;F;ROH;;88;PK01;75428;W09;X
3;24;500327344;Elastikp 3M Bumpon SJ5012 3,5mm skl.;6;ST;86;SP;1;ND;F;ROH;;88;PK01;B-GOT001;W10;X
3;1;500287173;Primer 3M 94;50;KG;86;SP;1;PD;F;ROH;1;88;PK01;W-FIN001;W02;X
3;2;700032707;Safety Walk Kantenschutzversiegelung;100;KG;86;SP;1;PD;F;ROH;1;88;PK01;W-FIN001;W09;
3;1;500137601;Klebstoff Dinitrol PUR 512 2K HM;0;KG;86;SP;1;PD;F;ROH;1;48;PK01;70887;W09;
3;3;500481852;Haftreiniger DINITROL 520-Ethanol (1L);0;KG;86;SP;1;PD;F;ROH;1;88;PK01;70887;W09;
3;4;500146546;Haftvermittler Dinitrol-PUR 530;0;KG;86;SP;1;PD;F;ROH;1;88;PK01;70887;W09;
3;5;500146550;Haftvermittler Dinitrol-PUR 550;0;KG;86;SP;1;PD;F;ROH;1;88;PK01;70887;W09;
3;1;500434191;Kleber Thomsit K 182;0;KG;86;SP;1;PD;F;ROH;1;88;PK01;56460;W09;
3;1;500300643;Klebstoff SikaSense4300FD;1800;KG;86;SP;1;PD;F;ROH;1;88;PK01;B-GOT001;W09;
3;2;500300644;SikaCure-4901 dunkelblau (Vernetzer);90;KG;86;SP;1;PD;F;ROH;1;88;PK01;B-GOT001;W09;
3;3;500071861;Spachtel Thomsit S 810;1800;KG;86;SP;1;PD;F;ROH;1;88;PK01;B-GOT001;W09;
3;4;66001938S;Polyesterspachtel und Haerter 1,8kg;900;L;86;SP;1;V1;F;ROH;1;88;PK01;B-GOT001;W09;
3;5;500428212;Grundierung Thomsit R766;900;KG;86;SP;1;PD;F;ROH;1;88;PK01;B-GOT001;W09;
3;1;500538717;Klebstoff SikaForce-7818 L7 Harz+Härter;0;KG;86;SP;1;PD;F;ROH;1;88;PK01;71219;W09;
3;4;500050017;Sika Aktivator 100;0;KG;86;SP;1;PD;F;ROH;1;88;PK01;71219;W09;
3;30;500385786;Fugenmasse-1K-Pur-Farbe 1823;1000;KG;86;SP;1;PD;F;ROH;1;88;PK01;B-GOT001;W09;
3;31;100167863;Fugenmasse Farbe 0716-1K-PUR;500;KG;86;SP;1;PD;F;ROH;1;88;PK01;B-GOT001;W09;
3;1;500546976;Klebstoff Sikaflex-268 PowerCure schwarz;0;KG;86;SP;1;PD;F;ROH;1;48;PK01;74287;W09;
3;4;500539443;Haftvermittler Sika Primer-207;0;KG;86;SP;1;PD;F;ROH;1;88;PK01;74287;W09;
1;1;500563105;Ausbau 301 Vorbau Aussenanbauteile;1;ST;86;SP;1;PD;E;HALB;1;15;INV;B-GOT001;;
2;1;558382CM1;Montage Scheinwerferabdeckung-Front;1;ST;86;SP;300;PD;E;HALB;1;15;INV;B-GOT001;;
3;4;500587649;Montagehalterung re kpl;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;75042;W05;
3;5;500587780;Montagehalterung li kpl;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;75042;W05;
3;12;61000655S;Gurtband 25mm;1000;M;86;SP;1;PD;F;ROH;1;88;M3FL3;B-GOT001;W02;
3;13;500333464;Sechskantschr.M6x12 ISO4017-A4-80;6;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75726;W09;X
3;14;500053323;Sperrkantscheibe SKB-6-NrFSt;6;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75726;W09;X
3;15;500342711;Sechskantschr.M6x45 ISO4017-A4-80;4;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75726;W09;X
3;16;815001288;Sperrkantscheibe SKM-6-NrFst (A4);6;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75042;W09;X
3;17;500340013;Sechskantschr.M5x12 ISO4017-A4-80;4;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75022;W09;X
3;18;500437566;Scheibe 5 ISO7093-1 200HV-A4;12;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75042;W09;X
3;19;500429361;Sechskantm.M5 ISO4032 A4-70;4;ST;86;SP;1;ND;F;ROH;;88;M3FL3;B-GOT001;W09;X
3;23;500507834;Beilage Bl 2x50x160 ISO9445;4;ST;86;SP;100;PD;F;HALB;;88;M3FL3;B-GOT001;W05;
3;24;500594718;Spannhülse Rd 16x25 M6;4;ST;86;SP;1;PD;F;ROH;;88;M3FL3;75726;W05;
3;1;500036716;Montagepaste Klüber 46MR401;0;KG;86;SP;1;PD;F;ROH;1;88;M3FL3;75134;W09;
3;1;700011785;Korrosionsschutz - Tectyl 846;0;KG;86;SP;1;PD;F;ROH;1;88;M3FL3;75134;W09;
3;999;500585757;Vormontage Scheinwerferabdeckung;1;ST;86;SP;200;PD;E;HALB;1;15;M3FL3;75022;;
4;1;500599132;Kleben Lampenglas;1;ST;86;SP;200;PD;E;HALB;1;15;VO90;76299;;
5;1;500583569;Scheinwerferabdeckung kpl;1;ST;86;SP;1;PD;F;ROH;;88;PK01;76299;W06;
5;6;500583729;Lampenglas re;1;ST;86;SP;1;PD;F;ROH;;88;PK01;76299;W06;
5;7;500583740;Lampenglas li;1;ST;86;SP;1;PD;F;ROH;;88;PK01;76299;W06;
5;1;500546973;Klebstoff Sikaflex-268 schwarz 600ml;0;KG;86;SP;1;PD;F;ROH;1;48;PK01;W-VIE001M;W09;
5;3;500050017;Sika Aktivator 100;0;KG;86;SP;1;PD;F;ROH;1;88;PK01;W-VIE001M;W09;
5;4;500539443;Haftvermittler Sika Primer-207;0;KG;86;SP;1;PD;F;ROH;1;88;PK01;W-VIE001M;W09;
4;10;500597246;Sicherheitsvorreiber, Sonderdreikant 6,5;2;ST;86;SP;1;PD;F;ROH;;88;VO90;75726;W11;
4;11;500583289;Teleskopschiene;2;ST;86;SP;1;PD;F;ROH;;88;VO90;75022;W09;
4;13;500333464;Sechskantschr.M6x12 ISO4017-A4-80;6;ST;86;SP;1;ND;F;ROH;;88;VO90;75726;W09;X
4;14;500053323;Sperrkantscheibe SKB-6-NrFSt;6;ST;86;SP;1;ND;F;ROH;;88;VO90;75726;W09;X
4;17;500340013;Sechskantschr.M5x12 ISO4017-A4-80;4;ST;86;SP;1;ND;F;ROH;;88;VO90;75042;W09;X
4;18;500437566;Scheibe 5 ISO7093-1 200HV-A4;2;ST;86;SP;1;ND;F;ROH;;88;VO90;75022;W09;X
4;20;63820014S;Anschlagpuffer;2;ST;86;SP;1;ND;F;ROH;;88;VO90;75022;W10;X
4;21;650010411;Sechskantm.M8 ISO4032-A4-80;4;ST;86;SP;1;ND;F;ROH;;88;VO90;75022;W09;X
4;22;815001287;Sperrkantscheibe SKM-8 TN096340-NrFSt-A4;4;ST;86;SP;1;ND;F;ROH;;88;VO90;75022;W09;X
4;51;500583507;Halter fuer Schein-werfer;2;ST;86;SP;1;PD;F;ROH;;88;VO90;75042;W05;
4;52;500583508;Gummidichtung;2;ST;86;SP;1;PD;F;ROH;;88;VO90;75042;W02;
4;53;500583287;Leichte Halterung li;1;ST;86;SP;1;PD;F;ROH;;88;VO90;75042;W05;
4;54;500583288;Leichte Halterung re;1;ST;86;SP;1;PD;F;ROH;;88;VO90;75042;W05;
4;55;500598088;Dichtung Scheinwerfer;2;ST;86;SP;1;PD;F;ROH;;88;VO90;76108;W06;
4;56;500332596;Sechskantschr.M6x16 ISO4017-A4-80;18;ST;86;SP;1;ND;F;ROH;;88;VO90;75042;W09;X
4;57;700019595;Sechskantm.M6 ISO4032-A2-70;18;ST;86;SP;1;ND;F;ROH;;88;VO90;75042;W09;X
4;400;700028163;Blechschr.ST4,2x13-C-H ISO7049-A2-70;6;ST;86;SP;1;ND;F;ROH;;88;VO90;75042;W09;X
4;450;815001288;Sperrkantscheibe SKM-6-NrFst (A4);36;ST;86;SP;1;ND;F;ROH;;88;VO90;75042;W09;X
4;620;500565387;Befestigungsset LED Scheinwerfer Nolden;2;ST;86;SP;1;PD;F;ROH;;88;VO90;75042;W09;
4;701;500565382;Hauptscheinwerfer BI-LED symm. chrom;2;ST;86;SP;1;PD;F;ROH;;88;VO90;75042;W09;
4;702;500570672;Schluss/Brems/Blinkleuchte NCC-3D #6;2;ST;86;SP;1;PD;F;ROH;;88;VO90;75042;W09;
4;1;500352591;Einzelleiterdichtung 1,8-2,4mm Superseal;6;ST;86;SP;1;ND;F;ROH;;88;VO90;B-GOT001;W04;X
4;2;500361233;Kontaktbuchse 0,75-1,5mm2 Superseal,verz;6;ST;86;SP;1;ND;F;ROH;;88;VO90;B-GOT001;W12;X
4;3;500361242;Buchsengehäuse Superseal 3pol.;2;ST;86;SP;1;ND;F;ROH;;88;VO90;B-GOT001;W02;X
4;1;500409365;Buchsengehäuse Superseal 4pol.;2;ST;86;SP;1;ND;F;ROH;;88;VO90;B-GOT001;W04;X
4;2;500361233;Kontaktbuchse 0,75-1,5mm2 Superseal,verz;8;ST;86;SP;1;ND;F;ROH;;88;VO90;B-GOT001;W12;X
4;3;38150512S;Einzelleiterdichtung 1,4-1,7mm Superseal;8;ST;86;SP;1;ND;F;ROH;;88;VO90;B-GOT001;W10;X
2;2;558385CM1;Montage Prallelement komplett;1;ST;86;SP;300;PD;E;HALB;1;15;INV;B-GOT001;;
3;1;500565719;Stossbügel kpl;1;ST;86;SP;1;PD;F;HALB;;88;M3FL3;B-GOT001;W05;
3;2;500565720;Energieverzehrelement;2;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W01;
3;3;500421452;Sperrkantscheibe SKM-20 076100-NrFSt;8;ST;86;SP;1;ND;F;ROH;;88;M3FL3;B-GOT001;W09;X
3;4;500463877;Sechskantschr.M20x140 ISO4014-10.9-Geom.;8;ST;86;SP;1;ND;F;ROH;;88;M3FL3;B-GOT001;W09;X
3;5;500565768;Dehnbuchse M20;8;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W05;
3;6;500476712;Scheibe 30 ISO8738 160HV-St-Geomet500A;2;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W09;
3;7;500332898;Sechskantschr.M10x60 ISO4017-A4-80;4;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75417;W09;X
3;8;500255421;Federstecker 6,3 DIN11024-FSt,verz.;2;ST;86;SP;1;ND;F;ROH;;88;M3FL3;B-GOT001;W02;X
3;9;500565721;Bolzen B30d9x175x6,3x161 ISO2341;2;ST;86;SP;1;ND;F;ROH;;88;M3FL3;B-GOT001;W02;X
3;1;500408071;Korrosionsschutzmittel Dinitrol 4010;0;L;86;SP;1;PD;F;ROH;1;88;M3FL3;75134;W09;
3;11;500340296;Loctite 243 Schraubensicherung;8;KG;86;SP;1;PD;F;ROH;1;88;M3FL3;W-VIE001;W09;
3;1;500036716;Montagepaste Klüber 46MR401;0;KG;86;SP;1;PD;F;ROH;1;88;M3FL3;75134;W09;
2;3;558386CM1;Montage Kupplungs-Abdeckung;1;ST;86;SP;300;PD;E;HALB;1;15;INV;B-GOT001;;
3;1;500565539;Kupplungsklappe Mitte vst;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W06;
3;2;500565551;Kupplungsklappe li vst;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W06;
3;3;500565552;Kupplungsklappe re vst;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W06;
3;4;500572449;C-Schiene Seitenteil kpl;4;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W05;
3;5;500566114;Hauptkonsole kpl li;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W05;
3;6;500566115;Hauptkonsole kpl re;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W05;
3;7;500568766;Feder Kupplungsabdeckung;2;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W05;
3;8;500565541;Konsole Drehriegel kpl li;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W05;
3;9;500565542;Konsole Drehriegel kpl re;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W05;
3;10;500565545;Halteblech kpl;2;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W05;
3;11;700027714;Megi-Anschlagpuffer mittel 781073;2;ST;86;SP;1;ND;F;ROH;;88;M3FL3;B-GOT001;W02;X
3;12;500332628;Sechskantschr.M8x16 ISO4017-A4-80;26;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75451;W09;X
3;13;500216770;Sperrkantscheibe SKB-8-FSt-Geomet 321A;26;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75451;W09;X
3;14;500334103;Sechskantm.M8 ISO4035-A4-035;2;ST;86;SP;1;ND;F;ROH;;88;M3FL3;B-GOT001;W09;X
3;15;815001308;Sperrkantscheibe SKS-6-NrFSt;4;ST;86;SP;1;ND;F;ROH;;88;M3FL3;B-GOT001;W09;X
3;16;500343167;Sechskantschr.M6x14 ISO4017-A4-80;4;ST;86;SP;1;ND;F;ROH;;88;M3FL3;B-GOT001;W09;X
3;17;500094794;Nutenstein M8 44320/8OS A4;10;ST;86;SP;1;ND;F;ROH;;88;M3FL3;B-GOT001;W02;X
3;1;500036716;Montagepaste Klüber 46MR401;0;KG;86;SP;1;PD;F;ROH;1;88;M3FL3;75134;W09;
3;20;500591394;Halter links;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;75451;W05;
3;21;500591395;Halter rechts;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;75451;W05;
3;22;500591396;Platte;2;ST;86;SP;1;PD;F;ROH;;88;M3FL3;75451;W05;
3;23;500499278;Sechskantschr.M8x25 ISO4017-A4-70;4;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75451;W09;X
3;24;500057305;Sperrkantscheibe SKB-8-NrFSt;4;ST;86;SP;1;ND;F;ROH;;88;M3FL3;75451;W09;X
3;11;500340296;Loctite 243 Schraubensicherung;4;KG;86;SP;1;PD;F;ROH;1;88;M3FL3;W-VIE001;W09;
3;1;500546973;Klebstoff Sikaflex-268 schwarz 600ml;0;KG;86;SP;1;PD;F;ROH;1;48;M3FL3;W-VIE001M;W09;
3;3;500050017;Sika Aktivator 100;0;KG;86;SP;1;PD;F;ROH;1;88;M3FL3;W-VIE001M;W09;
3;4;500539443;Haftvermittler Sika Primer-207;0;KG;86;SP;1;PD;F;ROH;1;88;M3FL3;W-VIE001M;W09;
3;32;67000020S;2284959.042;20;KG;86;SP;1;PD;F;ROH;1;88;M3FL3;75451;W02;
3;1;700011785;Korrosionsschutz - Tectyl 846;0;KG;86;SP;1;PD;F;ROH;1;88;M3FL3;75134;W09;
2;4;558387CM1;Montage Außenbeleuchtung Kopf-Front;1;ST;86;SP;300;PD;E;HALB;1;15;INV;71509;;
3;49;500597902;Halter Spitzenlicht Bl 3x120x120 EN485-4;1;ST;86;SP;1;PD;F;ROH;;88;M3FL3;76108;W05;
3;50;500578301;Halter;2;ST;86;SP;1;PD;F;ROH;;88;M3FL3;B-GOT001;W05;
3;58;500454628;Klips-Mutternhalter M6 015325 Niro;2;ST;86;SP;1;PD;F;ROH;;88;M3FL3;76108;W09;
3;59;500468896;Halbrundkopfschr.M6x25 ISO7380-1-A4-70;2;ST;86;SP;1;ND;F;ROH;;88;M3FL3;76108;W09;X
3;60;815001308;Sperrkantscheibe SKS-6-NrFSt;2;ST;86;SP;1;ND;F;ROH;;88;M3FL3;76108;W09;X
